,Dataset_ID,SubjectNumber,Subject,Run,Trial,RT,Total_Fixation_Duration,SupportDifference,supportDiffReAdj,Issue_left,Issue_right,LeftChoice,LeftChoice_num,ProtestView,Support_left,Support_right,supportChosenReAdj,supportUnchosenReAdj,LeftSupportReAdj,RightSupportReAdj,Moral_left,Moral_right,maxMoral,consistent,Age,age_z,Gender,gender,Edu,edu,Income,income,Relig,PartyRegistration,PartyRegistration_4_TEXT,PartyAlignment,partyAlignment,PoliticalSocial,PoliticalEcon,PoliticalEngagement,politicalEngagement,JS1,JS2,JS3,JS4,JS5,JS6,JS7,JS8,JS_sum,DUREL1_ORA,DUREL2_NORA,DUREL3_IR1,DUREL4_IR2,DUREL5_IR3,DUREL_sum,Familiar1,Familiar2,maxMoral_Familiar,DirmaxMoral
1,PMM002-1-1,2,PMM002,1,1,2848,NA,6,6,Mandatory drug tests for welfare recipients,Detention of migrant children,0,0,-1,6,0,3,-3,3,-3,3,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,1.5
2,PMM002-1-10,2,PMM002,1,10,3513,NA,6,6,Build southern border wall,Legalization of marijuana,0,0,1,0,6,3,-3,-3,3,4,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,0
3,PMM002-1-12,2,PMM002,1,12,3107,NA,6,6,Ban on research with animals,Hardening schools/Arming teachers,1,1,1,6,0,3,-3,3,-3,4,3.5,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,3,0.5
4,PMM002-1-13,2,PMM002,1,13,2877,NA,2,2,Defund the police,Mask mandates,1,1,1,3,1,0,-2,0,-2,4,2.5,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,3,2.5
5,PMM002-1-14,2,PMM002,1,14,2965,NA,3,3,Defund Planned Parenthood,Gun-free campus police,1,1,-1,0,3,3,0,-3,0,3.5,2,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,3,3.5
6,PMM002-1-15,2,PMM002,1,15,2695,NA,3,3,Increased Gun regulations,Gun-free campus police,1,1,1,6,3,3,0,3,0,3.5,2,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,3,3.5
7,PMM002-1-19,2,PMM002,1,19,2847,NA,1,-1,Gun-free campus police,Raise the minimum wage,1,1,1,3,4,0,1,0,1,2,2,2,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,2
8,PMM002-1-2,2,PMM002,1,2,2895,NA,6,6,Detention of migrant children,Black Lives Matter,1,1,-1,0,6,3,-3,-3,3,4.5,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,0
9,PMM002-1-21,2,PMM002,1,21,3133,NA,3,3,War on Drugs,Gun-free campus police,0,0,1,0,3,0,-3,-3,0,4,2,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,2,4,4
10,PMM002-1-22,2,PMM002,1,22,2318,NA,3,3,Stop police brutality,Gun-free campus police,1,1,1,6,3,3,0,3,0,4.5,2,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,3,4.5
