,Dataset_ID,SubjectNumber,Subject,Run,Trial,RT,Left_Title_Fixdur,Left_Title_nFix,Left_Protestors_FixDur,Left_Protestors_nFix,Right_Title_Fixdur,Right_Title_nFix,Right_Protestors_FixDur,Right_Protestors_nFix,Fixation_Rate,Right_Fixation,Right_nFixation,Unchosen_nFixations,Unchosen_Fixation,Chosen_Fixation,Chosen_nFixations,Left_nFixations,Left_Fixation,Total_Fixation_Duration,Total_nFixations,MoralDiffRmL,MoralDiffLmR,MoralDiff,Consistent_MoralDiff,SupportDifference,supportDiffReAdj,Issue_left,Issue_right,LeftChoice,LeftChoice_num,ProtestView,Support_left,Support_right,supportChosenReAdj,supportUnchosenReAdj,LeftSupportAdj,Moral_left,Moral_right,maxMoral,,unchosenMoral,chosenMoral,consistent,Age,age_z,Gender,gender,Edu,edu,Income,income,Relig,PartyRegistration,PartyRegistration_4_TEXT,PartyAlignment,partyAlignment,PoliticalSocial,PoliticalEcon,PoliticalEngagement,politicalEngagement,JS1,JS2,JS3,JS4,JS5,JS6,JS7,JS8,JS_sum,DUREL1_ORA,DUREL2_NORA,DUREL3_IR1,DUREL4_IR2,DUREL5_IR3,DUREL_sum,unchosenFamiliar,chosenFamiliar,Familiar1,Familiar2,maxMoral_Familiar
1,PMM002-1-1,2,PMM002,1,1,2848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,-1.5,1.5,1.5,6,6,Mandatory drug tests for welfare recipients,Detention of migrant children,0,0,-1,6,0,3,-3,6,3,4.5,4.5,,3,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,2,3,3
2,PMM002-1-10,2,PMM002,1,10,3513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6,6,Build southern border wall,Legalization of marijuana,0,0,1,0,6,3,-3,-6,4,4,4,,4,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
3,PMM002-1-12,2,PMM002,1,12,3107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,0.5,0.5,6,6,Ban on research with animals,Hardening schools/Arming teachers,1,1,1,6,0,3,-3,6,4,3.5,4,,3.5,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,2,3
4,PMM002-1-13,2,PMM002,1,13,2877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5,1.5,1.5,1.5,2,2,Defund the police,Mask mandates,1,1,1,3,1,0,-2,2,4,2.5,4,,2.5,4,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,2,3
5,PMM002-1-14,2,PMM002,1,14,2965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5,1.5,1.5,1.5,3,3,Defund Planned Parenthood,Gun-free campus police,1,1,-1,0,3,3,0,3,3.5,2,3.5,,2,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,2,3
6,PMM002-1-15,2,PMM002,1,15,2695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5,1.5,1.5,1.5,3,3,Increased Gun regulations,Gun-free campus police,1,1,1,6,3,3,0,3,3.5,2,3.5,,2,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,2,3
7,PMM002-1-19,2,PMM002,1,19,2847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,-1,Gun-free campus police,Raise the minimum wage,1,1,1,3,4,0,1,-1,2,2,2,,2,2,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,2,2,3,3
8,PMM002-1-2,2,PMM002,1,2,2895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6,6,Detention of migrant children,Black Lives Matter,1,1,-1,0,6,3,-3,6,4.5,4.5,4.5,,4.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
9,PMM002-1-21,2,PMM002,1,21,3133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,2,-2,-2,3,3,War on Drugs,Gun-free campus police,0,0,1,0,3,0,-3,-3,4,2,4,,4,2,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,2,4,2,4
10,PMM002-1-22,2,PMM002,1,22,2318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5,2.5,2.5,2.5,3,3,Stop police brutality,Gun-free campus police,1,1,1,6,3,3,0,3,4.5,2,4.5,,2,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,3,3,2,3
11,PMM002-1-3,2,PMM002,1,3,3108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,1,1,3,3,Abortion rights,Defund the police,1,1,1,6,3,3,0,3,5,4,5,,4,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,3,3,3,3
12,PMM002-1-5,2,PMM002,1,5,3120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,-0.5,6,6,War on Drugs,Mandatory training on sexual consent,0,0,1,0,6,3,-3,-6,4,3.5,4,,4,3.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,4,3,4
13,PMM002-1-7,2,PMM002,1,7,2164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5,1.5,1.5,1.5,6,6,Affirmative action,Bathrooms restricted based on biological sex,1,1,1,6,0,3,-3,6,5,3.5,5,,3.5,5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,3,4
14,PMM002-1-8,2,PMM002,1,8,2978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,0.5,0.5,3,3,Remove police from schools,Defund the police,1,1,1,6,3,3,0,3,4.5,4,4.5,,4,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,3,4,4,3,4
15,PMM002-2-10,2,PMM002,2,10,2558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,-0.5,0.5,1,-1,Raise the minimum wage,Mandatory vaccinations,1,1,1,4,5,3,-3,-1,2,2.5,2.5,,2.5,2,0,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,3,4,4
16,PMM002-2-11,2,PMM002,2,11,2892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,2,2,2,5,5,Remove public Confederate memorials,Mask mandates,1,1,1,6,1,2,-2,5,4.5,2.5,4.5,,2.5,4.5,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,2,4,4,2,4
17,PMM002-2-16,2,PMM002,2,16,2608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-2,-2,-2,4,4,Raise the minimum wage,War on Drugs,1,1,1,4,0,1,3,4,2,4,4,,4,2,1,20,-0.448011825,Female,1,"Some college, but no degree",14,"$50,000-$74,999",3,Unaffiliated,None,,Independent,3,Slightly liberal,Moderate,Often,3,4,0,4,0,2,0,4,4,18,1,1,1,4,1,8,4,3,3,4,4
